,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Northern Ireland's,Northern Ireland's,GPE,-0.20000000,0.50000000,en,1.00000000,,-1,,,,,,
Iceland,Iceland,GPE,-0.20000000,0.50000000,en,1.00000000,,-1,,,,,,
East,East,LOC,0.16818182,0.32727273,en,1.00000000,,-1,,,,,,
United States,United States,GPE,-0.60000000,0.90000000,en,1.00000000,,-1,,,,,,
Atlantic,Atlantic,LOC,0.11212121,0.21818182,en,1.00000000,,-1,,,,,,
Panama,Panama,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Vantaa,Vantaa,GPE,0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
Ports-RUNE,Ports-RUNE,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Alpine,Alpine,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
North Cascades,North Cascades,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
European Alpine,European Alpine,LOC,0.50000000,0.15000000,en,1.00000000,,-1,,,,,,
North Cascades National Park,North Cascades National Park,LOC,0.50000000,0.15000000,en,1.00000000,,-1,,,,,,
McLane Stadium,McLane Stadium,GPE,0.66666667,1.20000000,en,1.00000000,,-1,,,,,,
Waco,Waco,GPE,0.66666667,1.20000000,en,1.00000000,,-1,,,,,,
Salt Lake City,Salt Lake City,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Alps,Alps,GPE,0.00000000,0.10000000,en,1.00000000,,-1,,,,,,
Tokyo,Tokyo,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Kodiak,Kodiak,GPE,-0.10000000,0.10000000,en,1.00000000,,-1,,,,,,
Polk County,Polk County,GPE,0.40000000,0.40000000,en,1.00000000,,-1,,,,,,
New England,New England,LOC,0.20454545,0.98181818,en,1.00000000,,-1,,,,,,
