domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.cbc.ca,0.07834092125907602,0.17174072625931494,0.4134864596933049,0.1624206327281293,60.0
www.bbc.com,0.07677180678668774,0.17019054175871476,0.3875894861311528,0.17784241215943242,42.0
slashdot.org,0.06698096566207362,0.15134652970177687,0.41389931533113355,0.13454943970536223,40.0
biztoc.com,-0.016365440115440114,0.17843762361697488,0.43603664853664853,0.2131813329192913,39.0
www.yahoo.com,0.08080060586169609,0.16707089355986035,0.5002631126879248,0.13094772709559946,38.0
abcnews.go.com,0.08378475056902476,0.14664924898557322,0.48619893771103445,0.22028830818994577,31.0
consent.yahoo.com,-0.09513257575757575,0.10845013440673046,0.3808270202020202,0.1269851658986406,22.0
timesofindia.indiatimes.com,0.12596993746993745,0.21499581108666838,0.49661260564831994,0.1954436944458036,21.0
en.protothema.gr,-0.001975155053280052,0.1642540639757127,0.4643051878676879,0.17117739957257938,20.0
economictimes.indiatimes.com,0.04072470657996973,0.1323468030263345,0.4045948459435302,0.21063166238885694,19.0
financialpost.com,0.06932037558148291,0.16777670870516653,0.4842500954274707,0.1719306267847376,19.0
www.denverpost.com,0.09154307626529849,0.15536756445135005,0.41826532520976967,0.15557350223102687,18.0
rollingout.com,0.03141611218000107,0.13804071656659672,0.5327586045641601,0.18711160609731736,18.0
www.businessinsider.com,0.223248556998557,0.1811135386891297,0.489806945505475,0.19479916983039272,17.0
www.foxweather.com,0.12184984203957418,0.16915667467628473,0.5787839718978112,0.13683894075942343,16.0
www.blogto.com,0.13835417738826827,0.11719642861412506,0.45877897130927436,0.18354406212192295,15.0
www.mensjournal.com,0.0466380526039617,0.20870391421749418,0.4884462864576501,0.22517735427446675,14.0
nypost.com,0.05900762336615086,0.14532198545368663,0.493899515155006,0.18338102767780878,14.0
yle.fi,0.120717377860235,0.24422497430581938,0.48909168212739645,0.18964370138012435,14.0
www.thelocal.de,0.09069727281265744,0.12703208821314443,0.4019879692956616,0.12671079734448507,13.0
www.irishtimes.com,-0.08585967735967735,0.0943967527281877,0.45107771857771856,0.17952049507850193,13.0
cheezburger.com,0.13959185045723507,0.168868562212012,0.5271294303986612,0.17792540472161333,13.0
www.cbsnews.com,0.10887685837860663,0.21293801391716516,0.5348755469472253,0.1346802006632817,13.0
www.thejournal.ie,-0.013448833573833576,0.3185274367390671,0.4194187910854578,0.20765467754647388,12.0
indianexpress.com,0.058332732082732076,0.12842012389979157,0.4835192700817701,0.20251915555063518,12.0
www.independent.ie,0.0013409090909090916,0.2011720176126386,0.37969654882154885,0.24890808683600724,12.0
www.forbes.com,0.05788660413660414,0.31186869295920355,0.5656373256373256,0.20877903963378835,11.0
dailycaller.com,0.11735925582354154,0.19570451826809127,0.4827868996083282,0.13320748872805327,10.0
www.rte.ie,-0.02539141414141415,0.08610248940739956,0.24551406926406924,0.16608190512019572,10.0
english.khabarhub.com,0.031158764075430747,0.18500899854151806,0.5227009204786983,0.14866260443123452,9.0
kyweathercenter.com,0.1764198532948533,0.08503021119620328,0.5115639864250975,0.09993025698311171,9.0
gizmodo.com,0.12909581930415262,0.19846914058018592,0.42821328362995037,0.15636738668876018,9.0
www.thestar.com.my,-0.05061011904761905,0.09389066894971206,0.4202777777777778,0.18582120519516487,8.0
lancasteronline.com,0.0678125,0.11329563229718544,0.2895138888888889,0.20856599442378512,8.0
news.sky.com,0.15951118326118327,0.13212724210724291,0.49801925505050504,0.15427214835351077,8.0
www.bostonherald.com,0.09730587121212121,0.07001856633540623,0.37813495532245534,0.2502638412275999,8.0
www.npr.org,0.08005117501546073,0.14723785117954574,0.4527387136672851,0.1793102646076434,7.0
kotaku.com,0.005054713804713798,0.15635474490769025,0.42441650941650944,0.12672955346804934,7.0
www.orlandosentinel.com,0.04969387755102043,0.22460693449734676,0.5434013605442176,0.2066705852476553,7.0
wattsupwiththat.com,0.11093395691609977,0.1205996842396398,0.38979591836734695,0.20074773016296066,7.0
www.wpxi.com,0.08240775097917954,0.2248739915593834,0.4601258331615474,0.15755447191909203,7.0
theconversation.com,0.03277983920841064,0.08080059816249115,0.4437842712842713,0.2070068894537488,7.0
www.nationalgeographic.com,0.29897586980920315,0.1263999084957823,0.4709792368125701,0.10915255896984516,6.0
www.indystar.com,0.03576471560846562,0.12466696432391078,0.41944857804232805,0.17421370688580645,6.0
statetimes.in,0.2037390713861302,0.24278549790211562,0.5405264125852361,0.10542106033156738,6.0
www.hurriyetdailynews.com,0.07457070707070707,0.2437028858503288,0.4067676767676767,0.1851712697557172,6.0
www.globenewswire.com,0.16591710758377426,0.14962345697462612,0.38793209876543217,0.2326160196476126,6.0
www.cnn.com,0.2014378908128908,0.10061166382891357,0.4488912938912939,0.0768681312713937,6.0
slickdeals.net,0.34054232804232804,0.06905590475129242,0.6199239417989418,0.15335156137374786,6.0
www.pbs.org,0.09328493265993267,0.21367688985923108,0.46315656565656566,0.1617445315627708,6.0
www.cnet.com,0.14462512025012023,0.06093666775788161,0.44999692437192435,0.08818932145747305,6.0
www.cincinnati.com,-0.019785353535353527,0.4327277512959609,0.2862878787878788,0.15306416517042937,6.0
www.jsonline.com,-0.04037878787878789,0.1773395311362113,0.35917099567099564,0.1868698201019197,5.0
www.fox2detroit.com,0.03960714285714286,0.21033691995928622,0.4129007936507937,0.08608080715404723,5.0
matadornetwork.com,0.09528114478114479,0.1457771618952498,0.525986531986532,0.12091519429836727,5.0
post.rlsbb.to,0.11894469167196439,0.06797523448132904,0.4524475524475524,0.11715576902135341,5.0
www.fox32chicago.com,0.10072222222222223,0.17941642260567253,0.5092208994708994,0.16297838058059452,5.0
